id,label,group,teks,desc,tested,mode,strand,questionCount,practiceQuestionCount,promptCount,fixedPracticeSets,fixedPracticeSetSizes,fullFormAppearances
r-2a-reference,Reference Resources,STAAR-Tested Reading,7.2A,"Use print or digital resources to determine meaning, syllabication, pronunciation, word origin, and part of speech.",true,objective,STAAR-Tested Reading,24,23,0,4,6|6|6|5,1
r-2b-context,Vocabulary in Context,STAAR-Tested Reading,7.2B,"Use contrast, cause-and-effect, and other context clues to clarify word meaning.",true,objective,STAAR-Tested Reading,24,8,0,2,4|4,16
r-2c-roots,Greek and Latin Roots,STAAR-Tested Reading,7.2C,Determine meaning and usage of words built from Grade 7 Greek and Latin roots.,true,objective,STAAR-Tested Reading,25,24,0,4,6|6|6|6,1
r-5c-predictions,Predictions,STAAR-Tested Reading,7.5C,"Make, correct, and confirm predictions using text features, genre characteristics, and structure.",true,objective,STAAR-Tested Reading,9,8,0,2,4|4,1
r-5e-connections,Connections Across Texts and Society,STAAR-Tested Reading,7.5E,"Connect a text to experiences, ideas in other texts, and society.",true,objective,STAAR-Tested Reading,21,16,0,4,4|4|4|4,5
r-5f-inferences,Inferences,STAAR-Tested Reading,7.5F,Make reasonable inferences from explicit and implicit details.,true,objective,STAAR-Tested Reading,28,8,0,2,4|4,20
r-5g-key-ideas,Key Ideas,STAAR-Tested Reading,7.5G,Evaluate details to determine key ideas.,true,objective,STAAR-Tested Reading,17,8,0,2,4|4,9
r-5h-synthesis,Synthesis,STAAR-Tested Reading,7.5H,Combine information within or across texts to create a new understanding.,true,objective,STAAR-Tested Reading,25,15,0,3,5|5|5,10
r-6c-evidence,Text Evidence,STAAR-Tested Reading,7.6C,Select relevant text evidence that supports an appropriate response.,true,objective,STAAR-Tested Reading,24,14,0,3,5|5|4,10
r-6d-paraphrase-summary,Paraphrase and Summary,STAAR-Tested Reading,7.6D,Paraphrase and summarize while preserving meaning and logical order.,true,objective,STAAR-Tested Reading,12,11,0,2,6|5,1
r-7a-themes,Themes,STAAR-Tested Reading,7.7A,Infer multiple themes within and across literary texts using evidence.,true,objective,STAAR-Tested Reading,10,8,0,2,4|4,2
r-7b-character,Character and Conflict,STAAR-Tested Reading,7.7B,Analyze how character qualities influence events and resolution of conflict.,true,objective,STAAR-Tested Reading,11,8,0,2,4|4,3
r-7c-plot,"Foreshadowing, Suspense, and Plot",STAAR-Tested Reading,7.7C,"Analyze plot elements, including foreshadowing and suspense.",true,objective,STAAR-Tested Reading,17,16,0,4,4|4|4|4,1
r-7d-setting,Setting,STAAR-Tested Reading,7.7D,Analyze how setting influences character and plot development.,true,objective,STAAR-Tested Reading,9,8,0,2,4|4,1
r-8a-genres,Literary Genres,STAAR-Tested Reading,7.8A,"Recognize characteristics of realistic fiction, adventure, historical fiction, mystery, humor, myth, fantasy, and science fiction.",true,objective,STAAR-Tested Reading,9,8,0,2,4|4,1
r-8b-poetry,Poetic Structure,STAAR-Tested Reading,7.8B,"Analyze rhyme scheme, meter, punctuation, capitalization, and other graphical elements in poetry.",true,objective,STAAR-Tested Reading,21,20,0,4,5|5|5|5,1
r-8c-drama,Drama: Dialogue and Staging,STAAR-Tested Reading,7.8C,Analyze how dialogue and staging develop characters in drama.,true,objective,STAAR-Tested Reading,19,17,0,4,5|4|4|4,2
r-8di-controlling-idea,Informational Thesis and Evidence,STAAR-Tested Reading,7.8D(i),Identify and analyze a controlling idea or thesis and its supporting evidence.,true,objective,STAAR-Tested Reading,23,14,0,3,5|5|4,9
r-8dii-references,References and Acknowledgements,STAAR-Tested Reading,7.8D(ii),"Use references and acknowledgements to understand background, sources, and assistance.",true,objective,STAAR-Tested Reading,14,13,0,3,5|4|4,1
r-8diii-organization,Informational Organization,STAAR-Tested Reading,7.8D(iii),"Analyze organizational patterns that support topics, categories, and subcategories.",true,objective,STAAR-Tested Reading,19,14,0,3,5|5|4,5
r-8ei-claim,Argumentative Claim,STAAR-Tested Reading,7.8E(i),Identify the central claim in an argumentative text.,true,objective,STAAR-Tested Reading,17,10,0,2,5|5,7
r-8eii-evidence-alternatives,Argument Evidence and Alternatives,STAAR-Tested Reading,7.8E(ii),Explain how evidence and consideration of alternatives support an argument.,true,objective,STAAR-Tested Reading,20,18,0,4,5|5|4|4,2
r-8eiii-audience,Intended Audience,STAAR-Tested Reading,7.8E(iii),Identify the intended audience or reader of an argument.,true,objective,STAAR-Tested Reading,11,10,0,2,5|5,1
r-9a-purpose-message,Author’s Purpose and Message,STAAR-Tested Reading,7.9A,Explain an author’s purpose and message.,true,objective,STAAR-Tested Reading,24,8,0,2,4|4,16
r-9b-structure-purpose,Structure and Purpose,STAAR-Tested Reading,7.9B,Analyze how text structure contributes to the author’s purpose.,true,objective,STAAR-Tested Reading,14,12,0,3,4|4|4,2
r-9c-print-graphics,Print and Graphic Features,STAAR-Tested Reading,7.9C,"Analyze how headings, captions, charts, diagrams, and other features achieve a purpose.",true,objective,STAAR-Tested Reading,13,12,0,3,4|4|4,1
r-9d-figurative,Figurative Language,STAAR-Tested Reading,7.9D,"Describe how metaphor, personification, and other figurative language achieve a purpose.",true,objective,STAAR-Tested Reading,14,13,0,3,5|4|4,1
r-9e-point-view,Subjective and Objective Point of View,STAAR-Tested Reading,7.9E,Identify subjective and objective point of view and explain the effect.,true,objective,STAAR-Tested Reading,9,8,0,2,4|4,1
r-9f-mood-voice-tone,"Mood, Voice, and Tone",STAAR-Tested Reading,7.9F,"Analyze how language contributes to mood, voice, and tone.",true,objective,STAAR-Tested Reading,16,15,0,3,5|5|5,1
r-9g-rhetoric-fallacies,Rhetorical Devices and Logical Fallacies,STAAR-Tested Reading,7.9G,Distinguish rhetorical devices from logical fallacies and explain their effects.,true,objective,STAAR-Tested Reading,9,8,0,2,4|4,1
w-10bi-organization,Organize a Coherent Draft,STAAR-Tested Writing,7.10B(i),"Revise introductions, transitions, paragraph coherence, and conclusions for purposeful structure.",true,objective,STAAR-Tested Writing,24,12,0,3,4|4|4,12
w-10bii-development,Develop Ideas with Details,STAAR-Tested Writing,7.10B(ii),"Develop an engaging idea with specific, relevant facts and details.",true,objective,STAAR-Tested Writing,29,8,0,2,4|4,21
w-10c-revision,Revise for Clarity and Style,STAAR-Tested Writing,7.10C,"Revise for clarity, development, organization, style, word choice, and sentence variety.",true,objective,STAAR-Tested Writing,19,8,0,2,4|4,11
w-10d-editing-integrated,Edit Using Standard English Conventions,STAAR-Tested Writing,7.10D,"Apply standard English conventions across sentence structure, agreement, usage, capitalization, punctuation, and spelling.",true,objective,STAAR-Tested Writing,9,8,0,2,4|4,1
w-10di-sentences-agreement,Sentences and Subject–Verb Agreement,STAAR-Tested Writing,7.10D(i),"Edit complex sentences for agreement and avoid fragments, run-ons, and comma splices.",true,objective,STAAR-Tested Writing,22,8,0,2,4|4,14
w-10dii-verb-tense,Verb Tense,STAAR-Tested Writing,7.10D(ii),Maintain consistent and appropriate verb tense.,true,objective,STAAR-Tested Writing,16,10,0,2,5|5,6
w-10diii-conjunctive-adverbs,Conjunctive Adverbs,STAAR-Tested Writing,7.10D(iii),Use conjunctive adverbs correctly with appropriate punctuation.,true,objective,STAAR-Tested Writing,10,8,0,2,4|4,2
w-10div-prepositions-agreement,Prepositions and Agreement,STAAR-Tested Writing,7.10D(iv),Use prepositions and prepositional phrases correctly and identify their influence on agreement.,true,objective,STAAR-Tested Writing,9,8,0,2,4|4,1
w-10dv-pronouns,"Pronouns, Including Relative Pronouns",STAAR-Tested Writing,7.10D(v),"Use clear, correct pronouns, including relative pronouns.",true,objective,STAAR-Tested Writing,11,8,0,2,4|4,3
w-10dvi-conjunctions,Subordinating and Correlative Conjunctions,STAAR-Tested Writing,7.10D(vi),Use subordinating and correlative conjunctions to form correct relationships.,true,objective,STAAR-Tested Writing,12,10,0,2,5|5,2
w-10dvii-capitalization,Capitalization,STAAR-Tested Writing,7.10D(vii),"Capitalize proper nouns, abbreviations, initials, acronyms, and organizations.",true,objective,STAAR-Tested Writing,9,8,0,2,4|4,1
w-10dviii-punctuation,Punctuation,STAAR-Tested Writing,7.10D(viii),"Use commas and other punctuation in complex sentences, transitions, and introductory elements.",true,objective,STAAR-Tested Writing,17,8,0,2,4|4,9
